Statement,Link,Date
BBC Inside Science: Coronavirus conspiracy^ Listeners' mask questions^ Solar Orbiter gets close to the Sun,https://www.bbc.co.uk/programmes/m000k325,18 Jun 2020
Coronavirus: Third West Yorkshire bed factory outbreak,https://www.bbc.co.uk/news/uk-england-leeds-53394717,13 Jul 2020
Covid: Biden vows 100m vaccinations for US in first 100 days,https://www.bbc.co.uk/news/world-us-canada-55238092,9 Dec 2020
US election 2020: Biden takes Georgia to solidify victory,https://www.bbc.co.uk/news/election-us-2020-54939212,14 Nov 2020
Coronavirus in Sudan exposes new leaders,https://www.bbc.co.uk/news/world-africa-52735520,25 May 2020
BCG: Can a vaccine from 1921 save lives from Covid-19?,https://www.bbc.co.uk/news/health-54465733,11 Oct 2020
Shoprite: Africa's biggest supermarket considers pulling out of Nigeria,https://www.bbc.co.uk/news/world-africa-53637506,3 Aug 2020
Coronavirus in Africa: 'Signs of hope' as cases level off,https://www.bbc.co.uk/news/world-africa-53847699,20 Aug 2020
Coronavirus: Calls to protect 'vital' warehouse workers,https://www.bbc.co.uk/news/uk-england-south-yorkshire-52139917,2 Apr 2020
Letter from Africa: Spare a thought for stranded migrants,https://www.bbc.co.uk/news/world-africa-52645702,17 May 2020
